theta,G
0.0,
0.01,0.09023458777664352
0.02,0.13698928007916933
0.03,0.17915559304624692
0.04,0.21736004424812688
0.05,0.2613279005024928
0.06,0.3047657553266623
0.07,0.349074142466182
0.08,0.3986169410596188
0.09,0.44773403865154315
0.1,0.49300683868755424
0.11,0.5359605099307164
0.12,0.5776865388614083
0.13,0.6156623364341822
0.14,0.6500196824499092
0.15,0.680842636481981
0.16,0.7083954166483581
0.17,0.7315946333431604
0.18,0.7508438591259995
0.19,0.7657071970078956
0.2,0.7766439023311997
0.21,0.7837984255822967
0.22,0.7873434280024684
0.23,0.7874022729220409
0.24,0.7841605347230102
0.25,0.7778880236842936
0.26,0.7688868270917888
0.27,0.757566030383902
0.28,0.7429608169207066
0.29,0.7271293901197077
0.3,0.7096852680352672
0.31,0.6900918036620413
0.32,0.6695766587906948
0.33,0.6480417980585919
0.34,0.6260032008648436
0.35000000000000003,0.6042278964697871
0.36,0.5824009359416843
0.37,0.5599635409787433
0.38,0.5390376762566098
0.39,0.5186037973740995
0.4,0.4977446223775188
0.41000000000000003,0.4778377209295436
0.42,0.4574733016116249
0.43,0.43937476559823146
0.44,0.41877334314067244
0.45,0.40034747676486543
0.46,0.37852268710632747
0.47000000000000003,0.3613062913979623
0.48,0.34388403340105356
0.49,0.3256834706048495
0.5,0.3086433651695419
0.51,0.293872653394425
0.52,0.2772347848552
0.53,0.2657490611188822
0.54,0.25454146586443577
0.55,0.24261844354264758
0.56,0.23093353679153783
0.5700000000000001,0.22308730770743654
0.58,0.21399252709008387
0.59,0.20150536710872927
0.6,0.19504531231477404
0.61,0.1869782424502636
0.62,0.17979207776047768
0.63,0.17256401622752032
0.64,0.16324275496384072
0.65,0.15669945898765378
0.66,0.15113397936465067
0.67,0.14594653161196844
0.68,0.1403721949795209
0.6900000000000001,0.13528516503238663
0.7000000000000001,0.12976990055144463
0.71,0.12619755328697602
0.72,0.11975479987294298
0.73,0.11554282567867413
0.74,0.11246107149652228
0.75,0.10580771208415994
0.76,0.09838869564061212
0.77,0.0902001123708605
0.78,0.08792348041303719
0.79,0.08038593907376516
0.8,0.07170094998267776
0.81,0.06844594275109556
0.8200000000000001,0.06489870021743299
0.8300000000000001,0.05695290092511435
0.84,0.0524599682550788
0.85,0.04143407704990176
0.86,0.04143407704990176
0.87,0.024996360363701994
0.88,0.024996360363701994
0.89,0.024996360363701994
0.9,0.024996360363701994
