,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
360ONE.NS,56,14.279920839196485,0.0,0.16111437185499844,0.014089974944411814,0.01188758223809631,0.0008835254315326971,0.0008228697898133107,0.0008228697898133163,0.3063449496302201,56
3MINDIA.NS,3,0.7183064384629723,0.0,0.13158022299875785,0.0007185294183531973,-0.006164402836796455,0.0003767815077792447,4.19628958736703e-05,4.19628958736703e-05,0.31378996911686446,3
ABB.NS,252,76.42521307198237,8.71402740561619e-05,0.22309265389992824,0.062425838299212985,0.06454779932353945,0.0033285214661436763,0.003645736535576047,0.0036457365355760407,0.25245788769243716,158
ACC.NS,295,100.52633226514982,0.0031261573317648084,0.24999073330954227,0.07943419330415503,0.07314488353248971,0.004292990620354862,0.004639042880207808,0.004639042880207811,0.25030750340048197,158
AIAENG.NS,7,1.680294447300144,0.0,0.13388753236156598,0.0015215540334523236,-0.004920528693877422,0.00041222455689263806,8.886040270732227e-05,8.886040270732223e-05,0.3070043391307085,7
APLAPOLLO.NS,183,50.220324569669806,0.0,0.1930935500700128,0.04486038752450138,0.050628162052521325,0.002259202916402081,0.0026198951949073985,0.002619895194907399,0.2841180116640367,157
AUBANK.NS,17,4.708578126244225,0.0,0.15163355926756295,0.003984131553062948,-0.0023000752617169428,0.0005339402738103606,0.00023267759570841094,0.00023267759570841086,0.3276456214598538,17
AWL.NS,166,47.36228703740728,3.267760277106071e-05,0.19094645048277473,0.04374377865263811,0.0472814508433199,0.0021183770698237356,0.002554684028009034,0.0025546840280090345,0.3106106001688836,157
AARTIIND.NS,333,104.80561841244689,0.02802649064331307,0.25793396696461973,0.0742310252705684,0.07364191435632844,0.0049657258384703485,0.004335172234372576,0.004335172234372577,0.19470148074375723,158
AAVAS.NS,6,1.4499667526376496,0.0,0.13703497812094698,0.0014169992466855094,-0.005222447084070206,0.00040564821488249905,8.27542899746727e-05,8.275428997467268e-05,0.29000085636456435,6
ABBOTINDIA.NS,16,4.220952401487708,0.0,0.13022637992999117,0.0011376738424043497,-0.005843091595461782,0.0006660056898962271,6.644138398178324e-05,6.644138398178324e-05,0.26806573870631323,16
